count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1044;4685;PC;64.5;0.041;0.0;0.0;4.71;0.1;17.0;-39.5;10.29;0.0055;3.37;0.0034;0.025;5,00E-05;9.26;0.0022;3.03;0.0017;0.015;0.0
1045;4666;PC;41.1;-0.682;0.0;0.0;4.24;0.1;17.0;6.1;18.03;0.0082;5.9;0.0066;0.0472;0.00039;16.23;0.0033;5.31;0.0033;0.0283;4,00E-05
1046;4695;SUV;54.5;-1.143;0.0;0.0;5.3;0.1;21.5;4.9;22.55;0.0115;7.39;0.0085;0.0598;0.0004;20.3;0.0046;6.65;0.0042;0.0359;4,00E-05
1047;4690;PC;56.6;-0.302;0.0;0.0;3.82;0.1;17.0;-35.3;11.0;0.0052;3.6;0.0039;0.0282;0.00019;9.9;0.0021;3.24;0.002;0.0169;2,00E-05
1048;4719;PC;65.1;0.042;0.0;0.0;5.25;0.1;17.0;-37.2;10.67;0.0057;3.49;0.0035;0.0258;4,00E-05;9.6;0.0023;3.14;0.0018;0.0155;0.0
1049;4701;LCV;45.2;-0.192;0.0;0.0;5.46;0.1;26.8;-29.4;18.92;0.0105;6.17;0.0071;0.0491;0.00033;17.03;0.0044;5.56;0.0037;0.0298;3,00E-05
1050;4728;PC;66.4;-0.293;0.0;0.0;3.77;0.1;17.0;-47.5;8.92;0.0044;2.92;0.0031;0.0226;0.00013;8.03;0.0017;2.63;0.0016;0.0136;1,00E-05
1051;4705;PC;43.0;-0.865;0.0;0.0;1.34;0.1;17.0;-47.2;8.98;0.003;2.94;0.0037;0.0258;0.00041;8.08;0.0012;2.65;0.0019;0.0155;4,00E-05
1052;4767;LCV;64.5;0.272;0.0;0.0;6.62;0.1;26.8;17.1;31.37;0.0405;9.79;0.0174;0.0543;0.00514;28.24;0.0291;8.81;0.012;0.0376;0.00051
1053;4711;PC;63.3;-0.28;0.0;0.0;6.26;0.1;17.0;-17.1;14.09;0.0079;4.59;0.0052;0.0346;0.00036;12.68;0.0036;4.14;0.0027;0.0209;4,00E-05
1054;4768;PC;58.2;0.246;0.0;0.0;5.45;0.1;17.0;44.9;24.63;0.021;7.9;0.0106;0.0528;0.00185;22.17;0.0128;7.11;0.0065;0.0334;0.00018
1055;4743;PC;65.1;0.229;0.0;0.0;8.84;0.1;17.0;4.0;17.69;0.0097;5.79;0.0058;0.0425;4,00E-05;15.92;0.0039;5.21;0.0029;0.0255;0.0
1056;4722;MBT;43.8;-0.125;0.0;0.0;1.76;0.1;27.1;-77.5;6.09;0.0028;2.0;0.0022;0.0158;0.00012;5.48;0.0011;1.8;0.0011;0.0095;1,00E-05
1057;4757;PC;64.1;0.469;0.0;0.0;14.26;0.1;17.0;86.1;31.63;0.0266;10.17;0.0131;0.0674;0.00202;28.47;0.0157;9.15;0.0079;0.0424;0.0002
1058;4735;MBT;52.1;-0.523;0.0;0.0;3.92;0.1;27.1;-29.8;19.01;0.0087;6.23;0.0069;0.0495;0.00039;17.11;0.0035;5.6;0.0035;0.0297;4,00E-05
1059;4761;SUV;36.5;-0.575;0.0;0.0;1.04;0.1;21.5;-61.1;8.35;0.0028;2.74;0.0035;0.0244;0.0004;7.52;0.0011;2.46;0.0018;0.0146;4,00E-05
1060;4772;PC;63.6;0.297;0.0;0.0;8.99;0.1;17.0;15.7;19.67;0.0107;6.44;0.0064;0.0473;5,00E-05;17.71;0.0043;5.8;0.0032;0.0284;0.0
1061;4762;PC;59.0;0.017;0.0;0.0;4.48;0.1;17.0;-32.5;11.48;0.0058;3.76;0.004;0.0287;0.00013;10.33;0.0023;3.38;0.002;0.0172;1,00E-05
1062;4764;LCV;54.8;-0.773;0.0;0.0;10.13;0.1;26.8;-0.4;26.7;0.0244;8.48;0.0123;0.056;0.00253;24.03;0.0158;7.64;0.0079;0.0367;0.00025
1063;4751;PC;42.2;-0.568;0.0;0.0;1.51;0.1;17.0;-56.3;7.42;0.0029;2.43;0.0029;0.0205;0.00026;6.68;0.0012;2.19;0.0015;0.0123;3,00E-05
1064;4773;LCV;41.8;0.018;0.0;0.0;4.78;0.1;26.8;-23.8;20.42;0.0229;6.37;0.0109;0.0394;0.00301;18.37;0.0164;5.74;0.0076;0.0274;0.0003
1065;4783;PC;54.3;-0.887;0.0;0.0;3.14;0.1;17.0;1.7;17.3;0.0073;5.66;0.0066;0.0464;0.00048;15.57;0.0029;5.1;0.0033;0.0278;5,00E-05
1066;4788;PC;52.9;-0.758;0.0;0.0;2.07;0.1;17.0;-47.9;8.85;0.0034;2.9;0.0035;0.0246;0.00032;7.97;0.0014;2.61;0.0018;0.0147;3,00E-05
1067;4797;PC;56.7;0.083;0.0;0.0;4.89;0.1;17.0;-34.1;11.2;0.0061;3.67;0.0037;0.027;4,00E-05;10.08;0.0024;3.3;0.0018;0.0162;0.0
1068;4787;PC;43.5;0.108;0.0;0.0;3.4;0.1;17.0;-38.0;10.53;0.0057;3.45;0.0035;0.0254;3,00E-05;9.48;0.0023;3.1;0.0017;0.0152;0.0
1069;4781;MBT;42.1;-0.037;0.0;0.0;3.41;0.1;27.1;-59.4;11.0;0.0052;3.6;0.004;0.0283;0.0002;9.9;0.0021;3.24;0.002;0.017;2,00E-05
1070;4779;PC;56.8;-0.146;0.0;0.0;3.14;0.1;17.0;-54.2;7.79;0.004;2.55;0.0027;0.0194;8,00E-05;7.01;0.0016;2.29;0.0013;0.0116;1,00E-05
1071;4775;PC;61.6;0.027;0.0;0.0;4.77;0.1;17.0;-34.8;11.08;0.0059;3.63;0.0037;0.027;6,00E-05;9.97;0.0024;3.26;0.0018;0.0162;1,00E-05
1072;4813;PC;64.6;0.434;0.0;0.0;11.44;0.1;17.0;47.2;25.02;0.0136;8.19;0.0082;0.0601;6,00E-05;22.52;0.0054;7.37;0.0041;0.0361;1,00E-05
1073;4832;PC;45.3;0.039;0.0;0.0;3.33;0.1;17.0;-13.5;14.7;0.0069;4.81;0.0053;0.0379;0.00027;13.23;0.0028;4.33;0.0026;0.0227;3,00E-05
1074;4828;PC;36.5;-0.348;0.0;0.0;2.91;0.1;17.0;-19.9;13.61;0.0059;4.46;0.0051;0.0362;0.00035;12.25;0.0024;4.01;0.0026;0.0217;3,00E-05
1075;4819;PC;51.8;-0.068;0.0;0.0;3.62;0.1;17.0;-27.7;12.29;0.0061;4.03;0.0043;0.0309;0.00015;11.06;0.0024;3.62;0.0021;0.0185;2,00E-05
1076;4795;PC;59.3;-0.203;0.0;0.0;3.01;0.1;17.0;-48.7;8.72;0.0041;2.86;0.0031;0.0225;0.00016;7.85;0.0016;2.57;0.0016;0.0135;2,00E-05
