frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
147,40,PC,homography,32.05,-1.5,1225,634
147,48,PC,homography,67.76,-0.629,1277,567
148,14,PC,homography,76.52,-0.128,991,729
148,40,PC,homography,32.32,-1.5,1224,635
148,48,PC,homography,66.91,-0.691,1277,568
149,14,PC,homography,76.24,-0.138,987,733
149,40,PC,homography,32.97,-1.5,1222,638
149,48,PC,homography,65.77,-0.779,1275,569
149,33,LCV,homography,103.04,0.267,1183,576
150,14,PC,homography,76.16,-0.139,982,737
150,40,PC,homography,33.69,-1.5,1220,640
150,48,PC,homography,65.99,-0.726,1274,571
150,33,LCV,homography,105.96,0.532,1181,578
151,14,PC,homography,76.27,-0.132,976,742
151,40,PC,homography,34.98,-1.5,1217,643
151,48,PC,homography,66.35,-0.663,1272,572
151,33,PC,homography,106.8,0.591,1179,579
152,14,PC,homography,76.58,-0.115,970,747
152,40,PC,homography,36.12,-1.5,1214,646
152,48,PC,homography,67.61,-0.519,1271,574
152,33,LCV,homography,108.12,0.688,1177,582
153,14,PC,homography,76.88,-0.1,963,752
153,40,PC,homography,37.53,-1.5,1211,649
153,48,PC,homography,68.83,-0.388,1270,576
154,14,PC,homography,76.49,-0.115,961,754
154,40,PC,homography,37.81,-1.5,1210,650
154,48,PC,homography,68.59,-0.395,1269,577
155,14,PC,homography,76.16,-0.129,956,758
155,40,PC,homography,38.05,-1.5,1208,652
155,48,PC,homography,68.29,-0.407,1268,578
156,14,PC,homography,75.92,-0.137,950,762
156,40,PC,homography,38.7,-1.5,1205,655
156,48,PC,homography,68.22,-0.399,1267,579
156,33,PC,homography,115.76,1.05,1170,589
157,14,PC,homography,75.85,-0.137,943,768
157,40,PC,homography,39.4,-1.5,1202,658
157,48,PC,homography,68.49,-0.363,1266,581
157,33,PC,homography,120.58,1.05,1168,591
158,14,PC,homography,76.06,-0.126,936,774
158,40,PC,homography,40.78,-1.5,1200,662
158,48,PC,homography,69.4,-0.276,1264,583
158,33,PC,homography,123.67,1.05,1166,593
159,14,PC,homography,76.48,-0.104,929,780
159,40,PC,homography,42.26,-1.5,1196,665
159,48,PC,homography,70.21,-0.202,1262,585
159,33,LCV,homography,126.5,1.05,1164,597
160,14,PC,homography,76.28,-0.112,927,782
160,40,PC,homography,42.66,-1.5,1195,666
160,48,PC,homography,69.78,-0.229,1262,585
160,33,LCV,homography,126.99,1.05,1163,598
161,14,PC,homography,76.0,-0.122,921,786
161,40,PC,homography,43.36,-1.5,1192,669
161,48,PC,homography,69.38,-0.253,1261,587
161,33,LCV,homography,126.0,1.05,1162,599
162,14,PC,homography,75.82,-0.128,915,792
162,40,PC,homography,44.32,-1.5,1189,673
