count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
19,190,PC,102.4,0.184,0.0,0.0,15.76,0.1,17.0,23.1,20.92,0.0114,6.85,0.0069,0.0504,6e-05,18.83,0.0045,6.17,0.0034,0.0302,1e-05
20,162,PC,68.1,-1.058,0.0,0.0,3.5,0.1,17.0,-33.4,11.32,0.0048,3.71,0.0043,0.0302,0.0003,10.19,0.0019,3.34,0.0021,0.0181,3e-05
21,183,MBT,97.4,-0.812,0.0,0.0,3.97,0.1,27.1,-73.5,7.19,0.0032,2.36,0.0027,0.0189,0.00017,6.47,0.0013,2.12,0.0013,0.0113,2e-05
22,174,MBT,83.5,-0.114,0.0,0.0,7.75,0.1,27.1,-50.9,13.3,0.007,4.35,0.0046,0.0328,0.00018,11.97,0.0029,3.91,0.0024,0.0198,2e-05
23,164,LCV,75.6,0.063,0.0,0.0,8.65,0.1,26.8,-30.0,18.76,0.0198,5.93,0.0092,0.0366,0.00221,16.89,0.0134,5.33,0.0061,0.0244,0.00022
24,198,MBT,99.6,-0.506,0.0,0.0,6.26,0.1,27.1,-65.0,9.48,0.0047,3.1,0.0033,0.0237,0.00011,8.53,0.0019,2.79,0.0016,0.0142,1e-05
25,176,LCV,74.9,0.202,0.0,0.0,10.93,0.1,26.8,-28.8,19.09,0.0128,6.2,0.007,0.0436,0.00055,17.18,0.0064,5.58,0.0038,0.0267,5e-05
26,182,PC,90.4,0.026,0.0,0.0,9.23,0.1,17.0,-16.6,14.18,0.0076,4.64,0.0047,0.0344,7e-05,12.76,0.003,4.18,0.0024,0.0207,1e-05
27,193,PC,76.1,-0.003,0.0,0.0,9.05,0.1,17.0,-3.9,16.34,0.0085,5.35,0.0055,0.0402,0.00012,14.71,0.0034,4.82,0.0028,0.0241,1e-05
28,212,PC,96.3,-0.043,0.0,0.0,9.0,0.1,17.0,-18.7,13.82,0.009,4.49,0.0051,0.0322,0.00045,12.44,0.0045,4.04,0.0028,0.0197,4e-05
29,219,PC,66.2,-0.647,0.0,0.0,7.15,0.1,17.0,-14.6,14.51,0.007,4.75,0.0051,0.0368,0.00021,13.06,0.0028,4.27,0.0026,0.0222,2e-05
30,232,SUV,67.9,-0.435,0.0,0.0,2.89,0.1,21.5,-60.9,8.41,0.0037,2.75,0.0032,0.0228,0.00023,7.57,0.0015,2.48,0.0016,0.0137,2e-05
