count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
5733,33339,SUV,7.7,0.042,0.0,0.0,0.32,0.10297,22.14,20.0,26.57,0.0069,8.7,0.0122,0.0826,0.00171,23.91,0.0028,7.83,0.0061,0.0496,0.00017
5734,33457,PC,12.4,-0.239,0.0,0.0,0.86,0.10297,17.5,12.0,19.61,0.0065,6.42,0.0082,0.0567,0.00092,17.65,0.0026,5.78,0.0041,0.034,9e-05
5735,33540,HV,12.9,-0.116,0.0,0.0,1.78,0.10297,96.59,-80.2,19.11,0.0079,6.26,0.0073,0.0517,0.00057,17.2,0.0032,5.63,0.0037,0.031,6e-05
5736,33439,PC,9.2,0.143,0.0,0.0,0.64,0.10297,17.5,-4.1,16.78,0.0065,5.49,0.0067,0.0465,0.0006,15.1,0.0026,4.95,0.0033,0.0279,6e-05
5737,33509,PC,14.3,-0.039,0.0,0.0,0.58,0.10297,17.5,-21.3,13.77,0.0046,4.51,0.0057,0.0397,0.00063,12.39,0.0019,4.06,0.0029,0.0238,6e-05
5738,33536,PC,9.3,-0.28,0.0,0.0,0.24,0.10297,17.5,50.7,26.38,0.0059,8.64,0.0123,0.0828,0.00183,23.74,0.0024,7.77,0.0061,0.0497,0.00018
5739,33363,PC,6.5,0.031,0.0,0.0,0.31,0.10297,17.5,61.2,28.22,0.0058,9.24,0.0134,0.0897,0.00206,25.4,0.0023,8.32,0.0067,0.0538,0.00021
5740,33552,PC,1.9,0.556,0.0,0.0,2.28,0.10297,17.5,154.9,44.63,0.0353,14.35,0.0194,0.1,0.00332,40.17,0.0213,12.91,0.0116,0.0628,0.00033
5741,33594,LCV,15.7,0.16,0.0,0.0,1.73,0.10297,27.6,-11.6,24.4,0.0267,7.64,0.0132,0.0483,0.00363,21.96,0.0191,6.87,0.009,0.0331,0.00036
5742,33517,PC,13.4,-0.066,0.0,0.0,0.62,0.10297,17.5,-5.5,16.54,0.0061,5.42,0.007,0.048,0.00072,14.89,0.0024,4.88,0.0035,0.0288,7e-05
