count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
4008;24589;PC;98.5;0.031;0.0;0.0;11.33;0.07531;12.8;-4.8;12.19;0.0065;3.99;0.004;0.0295;5,00E-05;10.97;0.0026;3.59;0.002;0.0177;1,00E-05
4009;24647;PC;68.9;0.206;0.0;0.0;6.04;0.07531;12.8;61.4;20.66;0.0253;6.48;0.0111;0.0372;0.00314;18.6;0.0179;5.83;0.0076;0.0253;0.00031
4010;24654;PC;87.4;0.291;0.0;0.0;8.86;0.07531;12.8;116.0;27.66;0.0151;9.04;0.0096;0.0674;0.00038;24.89;0.0065;8.14;0.0049;0.0406;4,00E-05
4011;24615;LCV;93.9;-0.081;0.0;0.0;13.79;0.07531;20.18;-24.5;15.24;0.0088;4.97;0.0054;0.0365;0.00028;13.72;0.004;4.47;0.0028;0.0222;3,00E-05
4012;24591;PC;70.7;0.006;0.0;0.0;5.39;0.07531;12.8;-34.2;8.43;0.0043;2.76;0.0029;0.0209;7,00E-05;7.58;0.0017;2.48;0.0014;0.0125;1,00E-05
4013;24607;PC;77.5;-0.075;0.0;0.0;7.61;0.07531;12.8;-17.7;10.54;0.0055;3.45;0.0036;0.026;8,00E-05;9.48;0.0022;3.11;0.0018;0.0156;1,00E-05
4014;24628;LCV;95.2;-0.553;0.0;0.0;6.8;0.07531;20.18;-46.5;10.79;0.0128;3.36;0.0059;0.02;0.00168;9.71;0.0092;3.03;0.0041;0.014;0.00017
4015;24644;PC;108.4;0.571;0.0;0.0;27.91;0.07531;12.8;113.3;27.31;0.0149;8.94;0.0089;0.0656;6,00E-05;24.58;0.006;8.05;0.0045;0.0393;1,00E-05
4016;24618;PC;71.9;0.123;0.0;0.0;7.32;0.07531;12.8;-13.5;11.07;0.0061;3.62;0.0037;0.027;4,00E-05;9.96;0.0024;3.26;0.0018;0.0162;0.0
4017;24630;PC;79.9;-0.807;0.0;0.0;4.27;0.07531;12.8;-43.0;7.29;0.0033;2.39;0.0027;0.019;0.00015;6.56;0.0013;2.15;0.0013;0.0114;2,00E-05
4018;24636;PC;94.5;0.003;0.0;0.0;9.65;0.07531;12.8;-12.7;11.18;0.0059;3.66;0.0038;0.0273;7,00E-05;10.06;0.0024;3.29;0.0019;0.0164;1,00E-05
4019;24660;MBT;97.8;-0.068;0.0;0.0;8.97;0.07531;20.41;-52.7;9.66;0.0051;3.16;0.0032;0.0235;5,00E-05;8.69;0.0021;2.85;0.0016;0.0141;0.0
4020;24671;PC;100.3;-0.415;0.0;0.0;7.16;0.07531;12.8;-38.1;7.92;0.0041;2.59;0.0027;0.0198;8,00E-05;7.13;0.0016;2.33;0.0014;0.0119;1,00E-05
4021;24645;PC;78.5;-0.226;0.0;0.0;5.25;0.07531;12.8;-41.4;7.5;0.0038;2.46;0.0026;0.0187;8,00E-05;6.75;0.0015;2.21;0.0013;0.0112;1,00E-05
4022;24670;PC;74.7;-0.663;0.0;0.0;4.29;0.07531;12.8;-36.2;8.17;0.0038;2.67;0.003;0.0212;0.00016;7.35;0.0015;2.41;0.0015;0.0127;2,00E-05
4023;24677;PC;67.2;-0.113;0.0;0.0;4.39;0.07531;12.8;-41.6;7.48;0.0037;2.45;0.0026;0.0188;0.0001;6.73;0.0015;2.21;0.0013;0.0113;1,00E-05
4024;24666;PC;70.6;-0.139;0.0;0.0;4.77;0.07531;12.8;-43.5;7.23;0.0037;2.37;0.0025;0.0179;6,00E-05;6.51;0.0015;2.13;0.0012;0.0107;1,00E-05
4025;24685;PC;68.0;-0.169;0.0;0.0;4.41;0.07531;12.8;-41.0;7.55;0.0038;2.47;0.0026;0.019;9,00E-05;6.79;0.0015;2.22;0.0013;0.0114;1,00E-05
4026;24697;PC;68.5;0.08;0.0;0.0;6.58;0.07531;12.8;-22.1;9.97;0.0053;3.27;0.0033;0.0243;5,00E-05;8.98;0.0021;2.94;0.0017;0.0146;1,00E-05
4027;24723;SUV;66.8;-0.961;0.0;0.0;4.05;0.07531;16.19;-38.2;10.01;0.0051;3.28;0.0039;0.0271;0.0002;9.01;0.0021;2.95;0.0019;0.0163;2,00E-05
4028;24721;PC;66.3;-0.527;0.0;0.0;1.45;0.07531;12.8;-68.8;4.0;0.0014;1.31;0.0017;0.0114;0.00018;3.6;0.0006;1.18;0.0008;0.0069;2,00E-05
4029;24741;PC;97.5;0.633;0.0;0.0;27.66;0.07531;12.8;123.2;28.58;0.0156;9.36;0.0094;0.0686;6,00E-05;25.72;0.0062;8.42;0.0047;0.0412;1,00E-05
4030;24724;PC;69.7;-0.764;0.0;0.0;3.59;0.07531;12.8;-44.1;7.16;0.0031;2.34;0.0027;0.0189;0.00018;6.44;0.0013;2.11;0.0013;0.0114;2,00E-05
